n,Bubble Sort,Insertion Sort,Selection Sort,Quick Sort,Merge Sort
354,26600,5400,15500,9200,18800
355,28600,5300,15600,9400,18800
356,27800,5800,14900,9200,24200
357,24200,3600,11300,7000,12900
358,25600,4000,12100,8300,23700
359,28200,5300,16500,8200,23700
360,124500,4900,13400,9700,18900
361,26000,4400,12500,8400,17700
362,26600,4200,17600,8000,15700
363,25000,4600,12700,8400,62500
364,25600,4000,12900,9000,23300
365,26100,4900,12900,8700,17000
366,28000,5400,14200,8400,17800
367,24100,4200,13000,8800,19100
368,28400,5000,13600,8700,17500
369,25200,4800,12000,8000,19700
370,27200,4600,13000,11200,19000
371,27200,4700,18800,9200,18600
372,27700,4900,13200,8200,19200
373,22300,3700,11400,7100,12400
374,21700,3700,11100,6900,12200
375,23400,3800,10400,6800,11800
376,22500,3700,10400,6800,11900
377,21300,5000,10600,7200,11400
378,22800,3400,10300,6800,14900
379,27000,4300,15000,7500,12700
380,25600,4800,12800,8500,18000
381,47000,4500,10000,6800,11400
382,21700,3700,9500,7000,30300
383,24300,3900,11200,7900,14200
384,26000,4600,9900,16800,32300
385,27800,4800,13100,9600,17800
386,27700,4600,13000,8200,17800
387,32000,4700,14900,8700,17500
388,26800,4900,13900,9300,19300
389,23900,4500,12600,17600,13000
390,21400,3500,10100,6700,11000
391,32700,3600,10400,6500,12000
392,23300,11200,12200,7100,12100
393,23100,3500,10500,6700,21700
394,22300,3400,10400,6400,12700
395,22900,3700,10600,6600,12500
396,21700,3500,11000,6700,12000
397,22500,3600,11000,7000,11900
398,22400,3500,15100,7200,14300
399,23100,3300,10600,6800,11800
400,22500,3100,10600,6900,12000
401,22700,3700,10600,6700,11900
402,24900,4300,14500,9100,18700
403,26300,4700,15300,8500,21900
404,26000,5100,15100,8900,18500
405,28700,5300,14700,9100,17900
406,29100,5200,15700,9000,19100
407,31400,5600,16400,8400,17800
408,30300,5300,15400,14800,19400
409,28000,5000,15400,8600,18500
410,29400,5100,16800,9600,20000
411,28800,5500,15200,9500,19600
412,28200,5200,17000,9000,18800
413,34200,5500,15900,9000,23300
414,27800,5200,13800,9200,16600
415,25600,3600,11400,7200,13000
416,23100,3400,10500,6900,12100
417,23900,3600,11100,7100,12000
418,25800,4300,39800,9000,20600
419,21500,3800,11200,6900,13200
420,23400,3700,10300,7100,12300
421,22900,3600,10800,7100,12100
422,23500,3600,10200,7200,11700
423,24200,3700,10700,6700,12200
424,29600,3600,10800,6900,12000
425,22700,3300,10300,6300,11500
426,22900,3500,10200,7100,11500
427,22700,3500,10300,6600,11500
428,22200,3700,10300,6400,11900
429,21200,3500,10500,6800,11400
430,23200,3500,16600,7100,11800
431,22000,3800,10500,6800,11900
432,22500,3500,11100,7000,12100
433,22400,3500,10500,7000,11900
434,23800,3700,10600,7200,11500
435,21600,3500,10800,6900,11800
436,23100,3400,9900,6600,13300
437,23100,3600,10700,7000,13900
438,22000,3900,10800,6800,11600
439,23300,3800,10200,6700,12100
440,22700,3400,10300,7100,11700
441,21400,3400,10200,7000,11700
442,23200,3500,10300,6700,13700
443,22700,5400,10600,7100,12000
444,23200,3500,10700,6700,11500
445,21000,3700,10500,6800,12000
446,24000,3500,10600,6800,11700
447,23400,3500,10300,6900,13900
